algoritmo,tablero,iteracion,h,pasos,tiempo
HC,8x8,1,4,4,0.0029976367950439453
HC,8x8,2,4,2,0.00299835205078125
HC,8x8,3,4,5,0.00299835205078125
HC,8x8,4,7,5,0.002011537551879883
HC,8x8,5,3,3,0.0019991397857666016
HC,8x8,6,2,5,0.003000020980834961
HC,8x8,7,3,5,0.0029985904693603516
HC,8x8,8,2,2,0.0030167102813720703
HC,8x8,9,3,5,0.0020024776458740234
HC,8x8,10,2,4,0.0020003318786621094
HC,8x8,11,9,3,0.0019991397857666016
HC,8x8,12,9,3,0.00299835205078125
HC,8x8,13,4,3,0.0029909610748291016
HC,8x8,14,8,4,0.002986431121826172
HC,8x8,15,2,2,0.0029990673065185547
HC,8x8,16,3,5,0.0019991397857666016
HC,8x8,17,3,5,0.002998828887939453
HC,8x8,18,3,5,0.0029985904693603516
HC,8x8,19,5,3,0.0029990673065185547
HC,8x8,20,7,4,0.0029888153076171875
HC,8x8,21,4,4,0.001999378204345703
HC,8x8,22,3,4,0.0029993057250976562
HC,8x8,23,3,4,0.0019991397857666016
HC,8x8,24,8,3,0.0019996166229248047
HC,8x8,25,3,3,0.0019991397857666016
HC,8x8,26,3,2,0.0029990673065185547
HC,8x8,27,4,4,0.001981496810913086
HC,8x8,28,2,3,0.001981496810913086
HC,8x8,29,6,3,0.0029866695404052734
HC,8x8,30,3,5,0.0019991397857666016
Sim.Ane.,8x8,1,0,40975,1.996
Sim.Ane.,8x8,2,0,336637,16.426
Sim.Ane.,8x8,3,0,44813,2.07
Sim.Ane.,8x8,4,0,19565,0.92
Sim.Ane.,8x8,5,0,79356,3.77
Sim.Ane.,8x8,6,0,115379,5.458
Sim.Ane.,8x8,7,0,162590,7.72
Sim.Ane.,8x8,8,0,63563,2.975
Sim.Ane.,8x8,9,0,34429,1.716
Sim.Ane.,8x8,10,0,21298,1.048
Sim.Ane.,8x8,11,0,401127,18.938
Sim.Ane.,8x8,12,0,90144,4.368
Sim.Ane.,8x8,13,0,9745,0.458
Sim.Ane.,8x8,14,0,43100,2.092
Sim.Ane.,8x8,15,0,135829,6.842
Sim.Ane.,8x8,16,0,1206288,56.419
Sim.Ane.,8x8,17,0,292686,14.059
Sim.Ane.,8x8,18,0,116056,5.802
Sim.Ane.,8x8,19,0,37720,1.803
Sim.Ane.,8x8,20,0,20681,0.972
Sim.Ane.,8x8,21,0,152571,7.602
Sim.Ane.,8x8,22,0,14656,0.695
Sim.Ane.,8x8,23,0,68774,3.344
Sim.Ane.,8x8,24,0,70517,3.355
Sim.Ane.,8x8,25,0,274310,13.191
Sim.Ane.,8x8,26,0,618636,30.846
Sim.Ane.,8x8,27,0,154786,7.604
Sim.Ane.,8x8,28,0,12098,0.626
Sim.Ane.,8x8,29,0,282955,13.270
Sim.Ane.,8x8,30,0,177947,8.392
Sim.Ane.,10x10,1,0,557915,55.558
Sim.Ane.,10x10,2,1,165818,11.383
Sim.Ane.,10x10,3,1,14107,1.002
Sim.Ane.,10x10,4,0,773255,74.891
Sim.Ane.,10x10,5,0,28517692,1864.492
Sim.Ane.,10x10,6,0,1614940,161.627
Sim.Ane.,10x10,7,1,181254,12.518
Sim.Ane.,10x10,8,0,7474172,469.965
Sim.Ane.,10x10,10,1,32804,2.294
Sim.Ane.,10x10,11,1,292634,20.325
Sim.Ane.,10x10,12,1,266235,18.347
Sim.Ane.,10x10,13,1,238961,16.086
Sim.Ane.,10x10,14,1,191156,13.910
Sim.Ane.,10x10,15,1,617589,46.859
Sim.Ane.,10x10,16,1,723483,51.634
Sim.Ane.,10x10,17,1,83459,6.066
Sim.Ane.,10x10,18,1,8616,0.640
Sim.Ane.,10x10,19,1,270080,21.117
Sim.Ane.,10x10,20,1,135264,13.444
Sim.Ane.,10x10,21,1,6321,0.444
Sim.Ane.,10x10,22,1,140090,13.298
Sim.Ane.,10x10,23,1,64497,16.377
Sim.Ane.,10x10,24,1,269702,54.044
Sim.Ane.,10x10,25,1,1028310,183.511
Sim.Ane.,10x10,26,1,255495,41.615
Sim.Ane.,10x10,27,1,154863,22.208
Sim.Ane.,10x10,28,1,269551,37.332
Sim.Ane.,10x10,29,1,54046,6.364
Sim.Ane.,10x10,30,1,721884,110.584
Genetico,8x8,1,0,6461,11.434
Genetico,8x8,2,0,474,1.046
Genetico,8x8,3,0,1026,2.694
Genetico,8x8,4,0,3993,6.672
Genetico,8x8,5,0,1692,2.652
Genetico,8x8,6,0,5123,7.917
Genetico,8x8,7,0,871,1.858
Genetico,8x8,8,0,3166,5.845
Genetico,8x8,9,0,3361,6.824
Genetico,8x8,10,0,928,1.900
Genetico,8x8,11,0,8764,15.325
Genetico,8x8,12,0,4169,7.566
Genetico,8x8,13,0,1810,3.626
Genetico,8x8,14,0,15707,38.204
Genetico,8x8,15,0,7135,16.658
Genetico,8x8,16,1,105647,268.456
Genetico,8x8,17,0,3335,6.304
Genetico,8x8,18,0,1509,2.366
Genetico,8x8,19,0,745,1.173
Genetico,8x8,20,0,120,0.204
Genetico,8x8,21,1,132450,315.156
Genetico,8x8,22,0,571,1.145
Genetico,8x8,23,0,2104,3.766
Genetico,8x8,24,0,1292,1.823
Genetico,8x8,25,0,1869,2.542
Genetico,8x8,26,0,5188,8.958
Genetico,10x10,1,1,48670,188.654
Genetico,8x8,28,0,3268,4.624
Genetico,8x8,29,0,3143,4.629
Genetico,8x8,30,0,2621,5.258
Genetico,10x10,1,1,48670,188.654
Genetico,10x10,2,1,54854,201.146
Genetico,10x10,3,0,31486,117.103
Genetico,10x10,4,0,74964,286.731
Genetico,10x10,5,1,18905,75.456
Genetico,10x10,6,1,16548,63.158
Genetico,10x10,7,1,37546,140.264
Genetico,10x10,8,0,37003,125.292
Genetico,10x10,9,0,32911,124.965
Genetico,10x10,10,1,11568,44.564
Genetico,10x10,11,0,7852,16.906
Genetico,10x10,12,0,52975,109.982
Genetico,10x10,13,1,47159,103.642
Genetico,10x10,14,1,46434,98.398
Genetico,10x10,15,0,46243,94.130
Genetico,10x10,16,1,69349,144.443
Genetico,10x10,17,0,7938,17.157
Genetico,10x10,18,0,55798,114.403
Genetico,10x10,19,1,17248,34.547
Genetico,10x10,20,1,25843,56.630
Genetico,10x10,21,0,113783,237.916
Genetico,10x10,22,1,105070,213.050
Genetico,10x10,23,1,35337,77.751
Genetico,10x10,24,1,318014,665.407
Genetico,10x10,25,1,33469,68.137
Genetico,10x10,26,0,19279,40.614
Genetico,10x10,27,1,93516,190.014
Genetico,10x10,28,1,15211,30.701
Genetico,10x10,29,0,41418,85.833
Genetico,10x10,30,1,12358,29.564
